skipped_courses
EMT C300 - AHA BLS Certification
EMT C350 - AHA BLS Instructor
EMT 143 - EMT Basic Clinical
INEL 15070 - Series Circuits
INEL 76010 - Introduction to PLC Troubleshooting
INEL 76020 - PLC Systems Troubleshooting
INEL 76030 - Event Sequencing
INEL 76040 - Application Development
INEL 76050 - Program Control Instructions
INEL 76060 - Math Data Move Instructions
INEL 85010 - Robotics Introduction
INEL 85030 - Programming Robotics - FANUC
INEL 85040 - Programming Robotics Offline - FANUC
INEL 85070 - Programming Robotics DENSO
INEL 85080 - Programming Robotics Offline DENSO
INTR 111 - Vertical-Mast Sit-Down Counterbalance Forklifts
